0,1,2,3
731,"6-[3-(4-Morpholinyl)Propyl]-2-(3-Nitrophenyl)-5-Thioxo-5,6,-Dihydro-7h-Thienol[2',3':4,5]Pyrrolo[1,2-C]Imidazol-7-One",Isoaspartyl dipeptidase,7.26
732,"3-Decyl-2,5-Dioxo-4-Hydroxy-3-Pyrroline","Keratin, type I cytoskeletal 10",7.26
733,3-Cyclohexyl-L-alanine,Immunoglobulin J chain,7.26
734,Cyamemazine,Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit beta,7.26
735,"2-{3-[(2S)-4,4-difluoro-2-(pyrrolidin-1-ylcarbonyl)pyrrolidin-1-yl]-3-oxopropyl}-isoindole-1,3(2H)-dione",Voltage-dependent P/Q-type calcium channel subunit alpha-1A,7.26
736,Annamycin,3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase,7.26
737,"(2S,3R)-3-(6-amino-9H-purin-9-yl)nonan-2-ol",Monocarboxylate transporter 1,7.26
738,"5-methyl-6-phenylquinazoline-2,4-diamine",Alpha-amylase,7.26
739,beta-phenyl-D-phenylalanyl-N-propyl-L-prolinamide,Ribosomal protein S6 kinase alpha-1,7.26
740,"2-[(2,4-DICHLORO-5-METHYLPHENYL)SULFONYL]-1,3-DINITRO-5-(TRIFLUOROMETHYL)BENZENE",Tubulin gamma-1 chain,7.26
741,Dacarbazine,14-3-3 protein eta,7.26
742,Abarelix,Sulfite reductase [NADPH] hemoprotein beta-component,7.26
743,Coproporphyrin I,BMP-2-inducible protein kinase,7.26
744,3-(3-Methyl-2-buten-1-yl)-3H-purin-6-amine,Peroxisome proliferator-activated receptor gamma coactivator 1-beta,7.26
745,Becatecarin,Rod shape-determining protein MreB,7.26
746,AF-710B,Ferredoxin--NADP reductase,7.26
747,BI 44370 TA,Fibrinogen beta chain,7.26
748,3-Fluoro-2-Methyl-Aniline,Transthyretin,7.26
749,"4-((3r,4s,5r)-4-Amino-3,5-Dihydroxy-Hex-1-Ynyl)-5-Fluoro-3-[1-(3-Methoxy-1h-Pyrrol-2-Yl)-Meth-(Z)-Ylidene]-1,3-Dihydro-Indol-2-One",Phosphonoacetate hydrolase,7.26
750,CRA_11092,Dual specificity mitogen-activated protein kinase kinase 5,7.25
751,"(4S)-5-Fluoro-4-hydroxy-3,4-dihydro-2(1H)-pyrimidinone",Glutamine-dependent NAD(+) synthetase,7.25
752,4-Methylaminorex,3-hydroxy-3-methylglutaryl-coenzyme A reductase,7.25
753,"(1S)-1-CYCLOPROPYL-2-[(2S)-4-(2,5-DIFLUOROPHENYL)-2-PHENYL-2,5-DIHYDRO-1H-PYRROL-1-YL]-2-OXOETHANAMINE",Complement C4-B,7.25
754,Aurotioprol,"6,7-dimethyl-8-ribityllumazine synthase",7.25
755,"1-{7-cyclohexyl-6-[4-(4-methylpiperazin-1-yl)benzyl]-7H-pyrrolo[2,3-d]pyrimidin-2-yl}methanamine",Sarcoplasmic/endoplasmic reticulum calcium ATPase 1,7.25
756,"(3R)-3-[3,5-Bis(trifluoromethyl)anilino]-2-cyano-3-sulfanylpropanamide",Aspartoacylase,7.25
757,Cannabigerol,30S ribosomal protein S4,7.25
758,Cefprozil,Lymphatic vessel endothelial hyaluronic acid receptor 1,7.25
759,"5-[Bis(2-bromoethyl)amino]-N-(2,3-dioxopropyl)-2,4-dinitrobenzamide",Exostosin-like 2,7.25
760,Cefaloridine,P-protein,7.25
761,9-Methylguanine,Tyrosine-protein phosphatase non-receptor type 11,7.25
762,"{(4Z)-2-[(1R,2R)-1-Amino-2-hydroxypropyl]-4-[(4-amino-1H-indol-3-yl)methylene]-5-oxo-4,5-dihydro-1H-imidazol-1-yl}acetic acid",Taste receptor type 1 member 2,7.25
763,"8-(2,5-Dimethoxy-Benzyl)-2-Fluoro-9-Pent-9h-Purin-6-Ylamine",Ferrochelatase,7.25
764,Beraprost,Glutaminyl-peptide cyclotransferase,7.25
765,"(7as,12ar,12bs)-1,2,3,4,7a,12,12a,12b-Octahydroindolo[2,3-a]Quinolizin-7(6h)-One",Bile acid-CoA:amino acid N-acyltransferase,7.25
766,"[N-[N-(4-Methoxy-2,3,6-trimethylphenylsulfonyl)-L-aspartyl]-D-(4-amidino-phenylalanyl)]-piperidine","Isoleucine--tRNA ligase, cytoplasmic",7.25
767,"1-(6-CYANO-3-PYRIDYLCARBONYL)-5',8'-DIFLUOROSPIRO[PIPERIDINE-4,2'(1'H)-QUINAZOLINE]-4'-AMINE",Type-1 angiotensin II receptor,7.25
768,Aminophenazone,"High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A",7.25
769,Azatadine,Hypothetical conserved protein,7.25
770,alpha-Tocopherol succinate,Exopolyphosphatase,7.25
771,Betulinic Acid,ATP-binding cassette sub-family G member 2,7.25
772,"(2S)-2-AMINO-1-(5-TERT-BUTYL-1,3,4-OXADIAZOL-2-YL)PROPAN-1-ONE",Methionine synthase,7.25
773,2-Methylbutanoic Acid,Dihydrofolate reductase,7.24
774,Bradanicline,Interleukin-1 receptor antagonist protein,7.24
775,Bietaserpine,Neuropeptide Y receptor type 1,7.24
776,"(2s,3s)-Trans-2,3-Dihydro-3-Hydroxyanthranilic Acid","Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial",7.24
777,1-[2-AMINO-2-CYCLOHEXYL-ACETYL]-PYRROLIDINE-3-CARBOXYLIC ACID 5-CHLORO-2-(2-ETHYLCARBAMOYL-ETHOXY)-BENZYLAMIDE,Baculoviral IAP repeat-containing protein 5,7.24
778,Acetylcarnitine,"D-tagatose-1,6-bisphosphate aldolase subunit KbaY",7.24
779,Chlormadinone,Immunoglobulin lambda-like polypeptide 1,7.24
780,(3-Carboxy-2-(R)-Hydroxy-Propyl)-Trimethyl-Ammonium,Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,7.24
781,6-fluoro-2-(2-hydroxy-3-isobutoxy-phenyl)-1H-benzoimidazole-5-carboxamidine,Serine/threonine-protein phosphatase PP1-alpha catalytic subunit,7.24
782,"2-[(CYCLOPROPYLCARBONYL)AMINO]-4,5,6,7-TETRAHYDRO-1-BENZOTHIOPHENE-3-CARBOXAMIDE",Annexin A4,7.24
783,Atopaxar,Outer membrane usher protein PapC,7.24
784,3-Bromo-7-Nitroindazole,Coagulation factor XII,7.24
785,Ceftizoxime,Sphingosine 1-phosphate receptor 3,7.24
786,"2-amino-5-[3-(1-ethyl-1H-pyrazol-5-yl)-1H-pyrrolo[2,3-b]pyridin-5-yl]-N,N-dimethylbenzamide",30S ribosomal protein S3,7.24
787,Bromhexine,Dihydrofolate reductase,7.24
788,Alosetron,Aldehyde oxidoreductase,7.24
789,Clozapine,Melanocortin receptor 4,7.23
790,Amperozide,Orotidine 5'-phosphate decarboxylase,7.23
791,Aurodox,Sugar phosphatase YbiV,7.23
792,[Methylseleno]Acetate,Serine/threonine-protein phosphatase 2A catalytic subunit beta isoform,7.23
793,Camazepam,"High affinity cAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase 8A",7.23
794,"(9BETA,11ALPHA,13ALPHA,14BETA,17ALPHA)-11-(METHOXYMETHYL)ESTRA-1(10),2,4-TRIENE-3,17-DIOL",Glycine receptor subunit alpha-2,7.23
795,Codeine methylbromide,Tyrosine-protein kinase Tec,7.23
796,Adenosine,"5,10-methylenetetrahydrofolate reductase",7.23
797,Calcifediol,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase",7.23
798,Chlorhexidine,Apolipoprotein C-III,7.23
799,Clomipramine,60S ribosomal protein L23,7.23
800,Almonertinib,Thymidine kinase,7.23
801,"(7S)-2-(2-aminopyrimidin-4-yl)-7-(2-fluoroethyl)-1,5,6,7-tetrahydro-4H-pyrrolo[3,2-c]pyridin-4-one",Glycine N-acyltransferase-like protein 1,7.23
802,"(5R)-2-[(2-Fluorophenyl)amino]-5-isopropyl-1,3-thiazol-4(5H)-one",Glutathione S-transferase A3,7.23
803,CRA_16847,Mitogen-activated protein kinase kinase kinase 10,7.23
804,Brostallicin,Cytochrome P450,7.23
805,Alcaftadine,Epidermin decarboxylase,7.23
806,Ala-geninthiocin,Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 1,7.23
807,"(S)-2-[4-(Aminomethyl)-1h-1,2,3-Triazol-1-Yl]-4-Methylpentanoic Acid","Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial",7.23
808,Amphomycin,4-diphosphocytidyl-2-C-methyl-D-erythritol kinase,7.23
809,"(2s)-2,8-Diaminooctanoic Acid","Glutamate decarboxylase 1 (Brain, 67kDa)",7.23
810,(S)-methoprene,Retinal dehydrogenase 2,7.23
811,CHROMOPHORE (LYS-TYR-GLY),"ATP synthase subunit g, mitochondrial",7.23
812,1-Hydroxy-2-Amino-3-Cyclohexylpropane,Copine-1,7.23
813,AZD-4877,Carboxypeptidase B,7.22
814,"4-[(1S,2S,5S,9R)-5-(HYDROXYMETHYL)-8,9-DIMETHYL-3-OXABICYCLO[3.3.1]NON-7-EN-2-YL]PHENOL",Galectin-3,7.22
815,"2-[(2e,6e,10e,14e,18e,22e,26e)-3,7,11,15,19,23,27,31-Octamethyldotriaconta-2,6,10,14,18,22,26,30-Octaenyl]Phenol",Evolved beta-galactosidase subunit alpha,7.22
816,4-{[1-Methyl-5-(2-Methyl-Benzoimidazol-1-Ylmethyl)-1h-Benzoimidazol-2-Ylmethyl]-Amino}-Benzamidine,Methionine aminopeptidase,7.22
817,Deanol,Mitogen-activated protein kinase 10,7.22
818,Apraclonidine,Sulfoxide reductase catalytic subunit YedY,7.22
819,Clocortolone caproate,Methionine--tRNA ligase,7.22
820,2-(2-hydroxy-phenyl)-3H-benzoimidazole-5-carboxamidine,Probable arabinosyltransferase B,7.22
821,AZD-4547,N5-carboxyaminoimidazole ribonucleotide mutase,7.22
822,Acetorphine,Chitobiase,7.22
823,[3-(Dodecanoylamino)Propyl](Hydroxy)Dimethylammonium,Proton-coupled amino acid transporter 1,7.22
824,"4-[(4-bromo-2-{[(3R,5S)-3,5-dimethylpiperidin-1-yl]carbonyl}phenyl)amino]-4-oxobutanoic acid","Glucan 1,4-alpha-maltohexaosidase",7.22
825,"(3R,4S)-1-[(4-AMINO-5H-PYRROLO[3,2-D]PYRIMIDIN-7-YL)METHYL]-4-[(METHYLSULFANYL)METHYL]PYRROLIDIN-3-OL",Glutamine synthetase,7.22
826,Daptomycin,Nuclear receptor subfamily 1 group D member 2,7.22
827,Afamelanotide,Protein UshA,7.22
828,Boldenone undecylenate,Potassium voltage-gated channel subfamily A member 5,7.22
829,"4-Hydroxy-3,5-Dimethyl-5-(2-Methyl-Buta-1,3-Dienyl)-5h-Thiophen-2-One",Cell division protein ZipA,7.22
830,"(2S,3S,8S,9S)-3-amino-9-methoxy-2,6,8-trimethyl-10-phenyldeca-4,6-dienoic acid",Neuronal acetylcholine receptor subunit alpha-7,7.22
831,2-(2-Hydroxy-Phenyl)-1h-Indole-5-Carboxamidine,Probable arabinosyltransferase C,7.22
832,17alpha-Estriol,DNA polymerase epsilon subunit 3,7.22
833,"1,2-Di-1-(3,7,11,15-Tetramethyl-Hexadecane)-Sn-Glycero-3-Phosphate",Neuronal acetylcholine receptor subunit alpha-5,7.22
834,Clorotepine,cAMP-dependent protein kinase regulatory subunit,7.22
835,Aliskiren,NADPH-flavin oxidoreductase,7.22
836,"8-cyclopentyl-1,3-dipropylxanthine",Glucanase,7.22
837,"17Alpha-methyl-3beta,17beta-dihydroxy-5alpha-androstane",DNA polymerase epsilon subunit 4,7.22
838,"3-Hydroxymethyl-5-Aziridinyl-1methyl-2-[1h-Indole-4,7-Dione]-Propanol","Possible cellulase CelA1 (Endoglucanase) (Endo-1,4-beta-glucanase) (FI-cmcase) (Carboxymethyl cellulase)",7.22
839,"(2S,3R,4S,5S)-3,4-Dihydroxy-2-[(methylsulfanyl)methyl]-5-(4-oxo-4,5-dihydro-1H-pyrrolo[3,2-d]pyrimidin-7-yl)pyrrolidinium",Large neutral amino acids transporter small subunit 2,7.22
840,4-Nitrocatechol,"1,4-dihydroxy-2-naphthoyl-CoA synthase",7.22
841,AZD-8186,Inosine triphosphate pyrophosphatase,7.22
842,Cefsulodin,Sodium- and chloride-dependent GABA transporter 2,7.22
843,Acalabrutinib,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",7.22
844,4-[(2-{4-[(CYCLOPROPYLCARBAMOYL)AMINO]-1H-PYRAZOL-3-YL}-1H-BENZIMIDAZOL-6-YL)METHYL]MORPHOLIN-4-IUM,Ammonia channel,7.22
845,Cortisone,Kappa-casein,7.22
846,2-Methoxyestradiol,Mitogen-activated protein kinase 1,7.22
847,Chloropyramine,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1,7.22
848,BIA,Melanocyte-stimulating hormone receptor,7.22
849,Arylomycin A2,Nicotinate-nucleotide adenylyltransferase,7.22
850,"1-[4-(AMINOMETHYL)BENZOYL]-5'-FLUORO-1'H-SPIRO[PIPERIDINE-4,2'-QUINAZOLIN]-4'-AMINE",Alpha-1A adrenergic receptor,7.22
851,Cetyltrimethylammonium naproxenate,Heterogeneous nuclear ribonucleoprotein H,7.21
852,4-(ACETYLAMINO)-3-HYDROXY-5-NITROBENZOIC ACID,14-3-3 protein epsilon,7.21
853,"7-[2-METHOXY-1-(METHOXYMETHYL)ETHYL]-7H-PYRROLO[3,2-F] QUINAZOLINE-1,3-DIAMINE",Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 3,7.21
854,Camsirubicin,Probable transcriptional repressor TraM,7.21
855,"CIS-(1R,2S)-2-AMINO-1,2,3,4-TETRAHYDRONAPHTHALEN-1-OL",40S ribosomal protein S3,7.21
856,BI 2536,MecA,7.21
857,AZD-1386,Alpha-lytic protease,7.21
858,"5-{4-[(3,5-DIFLUOROBENZYL)AMINO]PHENYL}-6-ETHYLPYRIMIDINE-2,4-DIAMINE",Heat-labile enterotoxin B chain,7.21
859,5-Hydroxyamino-3-Methyl-Pyrrolidine-2-Carboxylic Acid,Cysteine desulfurase,7.21
860,"2-Ribofuranosyl-3-Iodo-2,3-Dihydro-1h-Pyrazolo[3,4-D]Pyrimidin-4-Ylamine",DNA gyrase subunit A,7.21
861,(S)-acetoin,3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 2,7.21
862,Ceralifimod,G-protein coupled receptor 12,7.21
863,"2-(6-CHLORO-3-{[2,2-DIFLUORO-2-(2-PYRIDINYL)ETHYL]AMINO}-2-OXO-1(2H)-PYRAZINYL)-N-[(2-FLUORO-3-METHYL-6-PYRIDINYL)METHYL]ACETAMIDE",Amiloride-sensitive sodium channel subunit alpha,7.21
864,"[2-(Methyleneamine)-4-(4-Hydroxy-Benzylidine)-5-Oxo-4,5-Dihydro-Imidazol-1-Yl]-Acetaldehyde",Folate receptor gamma,7.21
865,1-{2-[(4-CHLOROPHENYL)AMINO]-2-OXOETHYL}-N-(1-ISOPROPYLPIPERIDIN-4-YL)-1H-INDOLE-2-CARBOXAMIDE,Serum paraoxonase/arylesterase 1,7.21
866,"7-amino-2-tert-butyl-4-(4-pyrimidin-2-ylpiperazin-1-yl)pyrido[2,3-d]pyrimidine-6-carboxamide",4-hydroxythreonine-4-phosphate dehydrogenase,7.21
867,"2'-(4-Dimethylaminophenyl)-5-(4-Methyl-1-Piperazinyl)-2,5'-Bi-Benzimidazole",Nuclear receptor subfamily 1 group I member 3,7.21
868,"2-amino-4-[2,4-dichloro-5-(2-pyrrolidin-1-ylethoxy)phenyl]-N-ethylthieno[2,3-d]pyrimidine-6-carboxamide",Cytochrome P450 26B1,7.21
869,Anidulafungin,Trafficking protein particle complex subunit 3,7.21
870,CRA_9785,Mitogen-activated protein kinase kinase kinase kinase 2,7.21
871,Arimoclomol,D-Amino acid amidase,7.21
872,Cyclofenil,Receptor-interacting serine/threonine-protein kinase 1,7.20
873,Bis(5-Amidino-2-Benzimidazolyl)Methanone,Uncharacterized MFS-type transporter EfpA,7.20
874,Apomorphine,Acidic cytochrome c3,7.20
875,Atosiban,Reaction center protein H chain,7.20
876,"2,6-Diamino-8-Propylsulfanylmethyl-3h-Quinazoline-4-One",Tubulin alpha-4A chain,7.20
877,2H-Benzimidazol-2-amine,5-hydroxytryptamine receptor 3C,7.20
878,Calcium,RAC-beta serine/threonine-protein kinase,7.20
879,Ciclesonide,60S ribosomal protein L14,7.20
880,"10,11-dimethoxy-4-methyldibenzo[c,f]-2,7-naphthyridine-3,6-diamine",Voltage-dependent calcium channel subunit alpha-2/delta-1,7.20
881,Bexarotene,Protein farnesyltransferase subunit beta,7.20
882,(E)-2-Fluoro-P-Hydroxycinnamate,Methylated-DNA--protein-cysteine methyltransferase,7.20
883,BIIB021,"1,25-dihydroxyvitamin D(3) 24-hydroxylase, mitochondrial",7.20
884,3-AMINO-AZACYCLOTRIDECAN-2-ONE,Lys-63-specific deubiquitinase BRCC36,7.20
885,Bisantrene,GM-CSF receptor alpha subunit,7.20
886,Clonazepam,HAP protein,7.20
887,Î±-Methylacetylfentanyl,Splicing factor 3B subunit 3,7.20
888,Celgosivir,Proteasome subunit beta type-9,7.20
889,Chromic citrate,Calreticulin-3,7.20
890,2''-O-[N-(3-(aminopropyl)2-aminoethyl]paromomycin,"Peroxiredoxin-5, mitochondrial",7.20
891,Bivalirudin,Sodium/iodide cotransporter,7.20
892,"2,5-Dimethoxy-4-ethylamphetamine",Squalene monooxygenase,7.20
893,Cyclobenzaprine,Serine/threonine-protein kinase RIO2,7.20
894,"2-{[(1R,2S)-2-aminocyclohexyl]amino}-4-[(3-methylphenyl)amino]pyrimidine-5-carboxamide",V-type proton ATPase catalytic subunit A,7.20
895,"2-(4-ETHYLPIPERAZIN-1-YL)-4-(PHENYLAMINO)PYRAZOLO[1,5-A][1,3,5]TRIAZINE-8-CARBONITRILE",3-oxo-5-alpha-steroid 4-dehydrogenase 1,7.19
896,Cilazaprilat,Splicing factor 1,7.19
897,3-{ISOPROPYL[(TRANS-4-METHYLCYCLOHEXYL)CARBONYL]AMINO}-5-PHENYLTHIOPHENE-2-CARBOXYLIC ACID,DAN domain family member 5,7.19
898,1-(5-BROMO-PYRIDIN-2-YL)-3-[2-(6-FLUORO-2-HYDROXY-3-PROPIONYL-PHENYL)-CYCLOPROPYL]-UREA,Holliday junction ATP-dependent DNA helicase RuvB,7.19
899,1-{2-OXO-3-[(1R)-1-(1H-PYRROL-2-YL)ETHYL]-2H-INDOL-5-YL}UREA,ATP-sensitive inward rectifier potassium channel 11,7.19
900,"(1S,2R,3S,4R,5R)-2,3,4-trihydroxy-N-octyl-6-oxa-8-azabicyclo[3.2.1]octane-8-carbothioamide",Annexin A2,7.19
901,Cinolazepam,Eukaryotic initiation factor 4A,7.19
902,Apramycin,Phosphoglycerate kinase 1,7.19
903,5beta-dihydrotestosterone,Ganglioside GM2 activator,7.19
904,Darodipine,Hemopexin,7.19
905,"(2R,3R)-N^1^-[(1S)-2,2-DIMETHYL-1-(METHYLCARBAMOYL)PROPYL]-N^4^-HYDROXY-2-(2-METHYLPROPYL)-3-{[(1,3-THIAZOL-2-YLCARBONYL)AMINO]METHYL}BUTANEDIAMIDE","Cysteine desulfurase, mitochondrial",7.19
906,6-[(Z)-AMINO(IMINO)METHYL]-N-[3-(CYCLOPENTYLOXY)PHENYL]-2-NAPHTHAMIDE,Coenzyme A biosynthesis bifunctional protein CoaBC,7.19
907,Cortivazol,Cyclin-dependent kinase-like 1,7.19
908,(S)-camphor,"Sterol-4-alpha-carboxylate 3-dehydrogenase, decarboxylating",7.19
909,"3-(1H-indol-3-yl)-4-{1-[2-(1-methylpyrrolidin-2-yl)ethyl]-1H-indol-3-yl}-1H-pyrrole-2,5-dione",Interleukin-5 receptor subunit alpha,7.19
910,2-(3-NITROPHENYL)ACETIC ACID,Tryptophan 5-hydroxylase 1,7.19
911,Bemcentinib,Hepatocyte nuclear factor 1-alpha,7.19
912,"(3,4,8b-Trimethyl-3-oxido-2,3a-dihydro-1H-pyrrolo[2,3-b]indol-3-ium-7-yl) N-(2-ethylphenyl)carbamate",Hyaluronate lyase,7.19
913,"[4-R-(4-ALPHA,6-BETA,7-BETA]-HEXAHYDRO-5,6-DI(HYDROXY)-1,3-DI(ALLYL)-4,7-BISPHENYLMETHYL)-2H-1,3-DIAZEPINONE",SEC14-like protein 4,7.19
914,Anagliptin,"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 3, mitochondrial",7.19
915,"1,8-Di-Hydroxy-4-Nitro-Anthraquinone",Adenosine receptor A3,7.18
916,ATM-3507,Outer membrane protein W,7.18
917,BMS-582949,Interleukin-12 subunit beta,7.18
918,Befunolol,Potassium-transporting ATPase ATP-binding subunit,7.18
919,Asoprisnil,GTP-binding protein Rheb,7.18
920,ATN-161,Colicin-Ia,7.18
921,"5'-FLUORO-2',5'-DIDEOXYADENOSINE","Arabinogalactan endo-beta-1,4-galactanase",7.18
922,2-(2-Hydroxy-5-Methoxy-Phenyl)-1h-Benzoimidazole-5-Carboxamidine,"Interferon-induced, double-stranded RNA-activated protein kinase",7.18
923,Î±-Methylfentanyl,CCAAT/enhancer-binding protein beta,7.18
924,AZD-5153,Beta-fructosidase,7.18
925,"6-[N-(4-Ethyl-1,2,3,4-Tetrahydro-6-Isoquinolinyl)Carbamyl]-2-Naphthalenecarboxamidine",Colipase,7.18
926,"(2R,3R)-7-(methylsulfonyl)-3-(2,4,5-trifluorophenyl)-1,2,3,4-tetrahydropyrido[1,2-a]benzimidazol-2-amine","Serine hydroxymethyltransferase, cytosolic",7.18
927,Alogliptin,Extracellular subtilisin-like serine proteinase,7.18
928,"5-(hexahydro-2-oxo-1H-thieno[3,4-D]imidazol-6-yl)pentanal",Beta-lactamase OXA-10,7.18
929,Cetrorelix,Heat shock 70 kDa protein 13,7.18
930,1-[2-(S)-AMINO-3-BIPHENYL-4-YL-PROPIONYL]-PYRROLIDINE-2-(S)-CARBONITRILE,Chromaffin granule amine transporter,7.18
931,Adinazolam,Putidaredoxin reductase,7.18
932,6-CHLORO-4-(CYCLOHEXYLOXY)-3-ISOPROPYLQUINOLIN-2(1H)-ONE,60S ribosomal protein L13a,7.18
933,(S)-iclaprim,Aldehyde dehydrogenase family 1 member A3,7.18
934,Bornyl acetate,Caspase-4,7.18
935,"5-[(3R)-3-(5-methoxy-4'-methylbiphenyl-3-yl)but-1-yn-1-yl]-6-methylpyrimidine-2,4-diamine",Malonamidase E2,7.18
936,"4,6-dideoxy-4-amino-beta-D-glucopyranoside",Transaldolase B,7.18
937,"(7R,12R,13R)-13-formyl-12,14-dihydroxy-3,5,7-trimethyltetradeca-2,4-dienoic acid",Glycine N-acyltransferase,7.18
938,Apadenoson,Interferon-inducible GTPase 5,7.18
939,Cetrimonium,"60 kDa heat shock protein, mitochondrial",7.18
940,"4-(2-aminoethoxy)-N-(3-chloro-5-piperidin-1-ylphenyl)-3,5-dimethylbenzamide",2-methylisocitrate lyase,7.18
941,Benzoylecgonine,Anti-sigma F factor antagonist,7.18
942,"(5R)-4-HYDROXY-3,5-DIMETHYL-5-[(1E,3E)-2-METHYLPENTA-1,3-DIENYL]THIOPHEN-2(5H)-ONE",Glutathione S-transferase A4,7.17
943,"(5S,8R,9S,10S,13R,14S,17S)-13-{2-[(3,5-DIFLUOROBENZYL)OXY]ETHYL}-17-HYDROXY-10-METHYLHEXADECAHYDRO-3H-CYCLOPENTA[A]PHENANTHREN-3-ONE",Glutaredoxin-1,7.17
944,A Disubstituted Succinyl Caprolactam Hydroxymate Mmp3inhibitor,Ribose-phosphate pyrophosphokinase,7.17
945,AZD-1305,Outer membrane protein A,7.17
946,2-(4-METHOXYPHENYL)ACETAMIDE,DNA topoisomerase 2-beta,7.17
947,AZD-4017,Short tail fiber protein gp12,7.17
948,Danegaptide,Survival motor neuron protein,7.17
949,Apalutamide,L-fucose isomerase,7.17
950,6-bromoindirubin-3'-oxime,Aurora kinase A,7.17
951,Cefroxadine,Acid-sensing ion channel 3,7.17
952,"(2S)-6-(2,4-DIAMINO-6-ETHYLPYRIMIDIN-5-YL)-2-(3,5-DIFLUOROPHENYL)-4-(3-METHOXYPROPYL)-2H-1,4-BENZOXAZIN-3(4H)-ONE",S-adenosylmethionine synthase isoform type-1,7.17
953,Cariprazine,Phosphoenolpyruvate-protein phosphotransferase,7.17
954,Cefodizime,NmrA-like family domain-containing protein 1,7.17
955,Chlortetracycline,Fibrillin-2,7.17
956,CIS-4-METHYL-N-[(1S)-3-(METHYLSULFANYL)-1-(PYRIDIN-4-YLCARBAMOYL)PROPYL]CYCLOHEXANECARBOXAMIDE,Knob-associated histidine-rich protein,7.17
957,BMS-986104,Signal transducer and activator of transcription 3,7.17
958,(2S)-2-hydroxy-2-methyl-N-[4-nitro-3-(trifluoromethyl)phenyl]-3-(pentafluorophenoxy)propanamide,Cytosolic 10-formyltetrahydrofolate dehydrogenase,7.17
959,alpha-N-Acetyl-D-galactosamine,Molybdenum cofactor biosynthesis protein B,7.17
960,(2S)-4-(4-fluorobenzyl)-N-(2-sulfanylethyl)piperazine-2-carboxamide,Arsenite methyltransferase,7.17
961,"Cis-[4,5-Bis-(4-Chlorophenyl)-2-(2-Isopropoxy-4-Methoxyphenyl)-4,5-Dihyd Roimidazol-1-Yl]-Piperazin-1-Yl-Methanone",Tubulin alpha chain,7.17
962,Cefaclor,Quinohemoprotein amine dehydrogenase subunit gamma,7.17
963,5'-{[4-(aminooxy)butyl](methyl)amino}-5'-deoxy-8-ethenyladenosine,GTPase HRas,7.17
964,Acyline,Pyruvate oxidase,7.17
965,Butropium,Casein kinase II subunit alpha',7.17
966,Amitriptyline,Pseudomonalisin,7.17
967,Clevidipine,60S ribosomal protein L27,7.17
968,4-Methylpiperazin-1-Yl Carbonyl Group,Aminoglycoside N(6')-acetyltransferase type 1,7.17
969,2-[Trans-(4-Aminocyclohexyl)Amino]-6-(Benzyl-Amino)-9-Cyclopentylpurine,Receptor-type tyrosine-protein phosphatase S,7.17
970,"(5S)-5-Iododihydro-2,4(1H,3H)-pyrimidinedione",S-formylglutathione hydrolase,7.17
971,(3S)-1-CYCLOHEXYL-5-OXO-N-PHENYLPYRROLIDINE-3-CARBOXAMIDE,"cAMP-specific 3',5'-cyclic phosphodiesterase 4B",7.17
972,(2S)-1-{[5-(1H-Indazol-5-yl)-3-pyridinyl]oxy}-3-(7aH-indol-3-yl)-2-propanamine,Proline synthase co-transcribed bacterial homolog protein,7.17
973,Acetyl simvastatin,Group IID secretory phospholipase A2,7.16
974,Allantoin,Isopentenyl-diphosphate delta-isomerase,7.16
975,Cyclacillin,Serine/threonine-protein kinase N1,7.16
976,"(E)-(4S,6S)-8-METHYL-6-((S)-3-METHYL-2-{(S)-2-[(5-METHYL-ISOXAZOLE-3-CARBONYL)-AMINO]-PROPIONYLAMINO}-BUTYRYLAMINO)-5-OXO-4-((R)-2-OXO-PYRROLIDIN-3-YLMETHYL)-NON-2-ENOIC ACID BENZYL ESTER",Tryptophan--tRNA ligase,7.16
977,Asiatic acid,RNA-directed RNA polymerase,7.16
978,Anacetrapib,Sterol regulatory element-binding protein 1,7.16
979,Crizotinib,Serine/threonine-protein kinase MARK1,7.16
980,2-(3-METHYLPHENYL)-1H-INDOLE-5-CARBOXIMIDAMIDE,Dihydropteroate synthetase,7.16
981,"1,1,1-TRIFLUORO-3-((N-ACETYL)-L-LEUCYLAMIDO)-4-PHENYL-BUTAN-2-ONE(N-ACETYL-L-LEUCYL-L-PHENYLALANYL TRIFLUOROMETHYL KETONE)",Amine oxidase [flavin-containing] A,7.16
982,"4-[(1S,2S,5S)-5-(HYDROXYMETHYL)-6,8,9-TRIMETHYL-3-OXABICYCLO[3.3.1]NON-7-EN-2-YL]PHENOL",Cytochrome c',7.16
